,best_match_score,__id_left,__id_right,Course,City,State,Country,Year,id,name,address,city,state,country,latitude,longitude
1391,0.3829211981703899,81_left,14252_right,Diamond Woods,Eugene,Oregon,US,,14253,Diamond Woods Golf Course,  96040 Territorial Highway,Monroe,Oregon,US,44.2713,-123.298
1392,1.0368819226916284,82_left,5205_right,Cog Hill Dubsdread,Lemont,Illinois,US,,5206,Cog Hill Golf & Country Club - Dubsdread,  12294 Archer Avenue,Lemont,Illinois,US,41.6648908,-87.961506
1393,1.0178493270685196,83_left,5579_right,Seven Bridges,Woodridge,Illinois,US,,5580,Seven Bridges Golf Club,  1 Mulligan Dr,Woodridge,Illinois,US,41.7661686,-88.07398779511404
1394,0.9758835663178725,84_left,11400_right,Dyker Beach,Brooklyn,New York,US,,11401,Dyker Beach Golf Course,  7th Ave and 86th St,Brooklyn,New York,US,40.618162,-74.020912
1395,0.7667712232014254,85_left,2566_right,Rolling Hills,Wilton,Connecticut,US,,2567,Rolling Hills Country Club,  333 Hurlbutt St,Wilton,Connecticut,US,41.210014,-73.41875263795772
1396,1.0056756204912585,86_left,17264_right,Stratton Mountain Golf Course,Stratton Mountain,Vermont,US,,17265,Stratton Mountain Golf Club - Lake/Mountain,  5 Village Lodge Rd,Stratton Mountain,Vermont,US,43.113829,-72.905092
1525,0.20510181814217537,87_left,14897_right,FDR Golf Club,Philadelphia,Pennsylvania,US,,14898,Bala Golf Club,  2200 Belmont Ave,Philadelphia,Pennsylvania,US,39.995419,-75.218421
1533,-0.12105439676669587,88_left,11996_right,Citi Field,Queens,New York,US,,11997,Quogue Field Club,  6 CLUB LN,Quogue,New York,US,40.816778549999995,-72.59243095005638
1732,-0.443284459794671,89_left,4896_right,Royal Blue at Baha Mar,New Providence,,BS,,4897,Bel-Mar Country Club,  7450 Logan Ave,Belvidere,Illinois,US,42.25117525,-88.78733845526861
1959,0.05175206923513008,90_left,3835_right,The Ocean Club,New Providence,,BS,,3836,The Ocean Club,  555 NE Ocean Blvd,Stuart,Florida,US,27.210603550000002,-80.1823832029095
2195,0.7956647336351316,91_left,12683_right,Pinehurst #2,Pinehurst,North Carolina,US,,12684,Pinehurst Resort - #2,  80 Carolina Vista Drive,Pinehurst,North Carolina,US,35.1926,-79.4639
2196,1.1534288092733074,92_left,12774_right,Mid Pines Club,Southern Pines,North Carolina,US,,12775,Mid Pines Inn & Golf Club,  1010 Midland Rd,Southern Pines,North Carolina,US,35.1917569,-79.3965685910872
2199,0.8067718896029776,93_left,12685_right,Pinehurst #4,Pinehurst,North Carolina,US,,12686,Pinehurst Resort - #4,  80 Carolina Vista Drive,Pinehurst,North Carolina,US,35.1877,-79.4651
2200,0.813800335113474,94_left,12689_right,Pinehurst #8,Pinehurst,North Carolina,US,,12690,Pinehurst Resort - #8,  100 Centennial Boulevard,Pinehurst,North Carolina,US,35.2172393,-79.4773277
2201,0.9547676708923505,95_left,12754_right,Tobacco Road,Sanford,North Carolina,US,,12755,Tobacco Road Golf Club,  442 Tobacco Rd,Sanford,North Carolina,US,35.3985925,-79.21239179249083
2202,1.1868844310595954,96_left,11089_right,River Vale Country Club,River Vale,New Jersey,US,,11090,River Vale Country Club,  660 RIVERVALE RD,River Vale,New Jersey,US,41.025965086956525,-74.00918656521739
2204,0.5558354216965516,97_left,11373_right,Sagamore Golf Club,Bolton,New York,US,,11374,The Sagamore Resort & Golf Club,  110 Sagamore Rd,Bolton Landing,New York,US,43.5557234,-73.6455597
2205,0.08164785347929505,98_left,11407_right,South Shore Golf Club,Staten Island,New York,US,,11408,South Park Golf Club,  2535 South Park Avenue,Buffalo,New York,US,42.83106553061224,-78.82404704081632
2262,0.7205041550619004,99_left,15015_right,Glen Brook Golf Club,Stroudsburg,Pennsylvania,US,,15016,Glen Brook Country Club,  1044 Hickory Valley Rd,Stroudsburg,Pennsylvania,US,40.970454,-75.22
2392,1.0932510937262987,100_left,2366_right,Mohegan Sun Golf Club,Baltic,Connecticut,US,,2367,Mohegan Sun Golf Club,  7 Dows Ln,Baltic,Connecticut,US,41.637854,-72.114609
2393,1.2430619499688302,101_left,2766_right,Legacy Golf Club at Lakewood Ranch,Bradenton,Florida,US,,2767,Legacy Golf Club at Lakewood Ranch,  8255 Legacy Blvd,Bradenton,Florida,US,27.3946847,-82.41603792502619
2394,0.8175575242013332,102_left,3610_right,Innisbrook Golf and Spa - Copperhead,Palm Harbor,Florida,US,,3611,Innisbrook Golf Resort - Copperhead,  36750 US Highway 19 North,Palm Harbor,Florida,US,28.112587,-82.755099
2507,0.7383556930542488,103_left,15864_right,Greystone Golf Club,Dickson,Tennessee,US,,15865,Greystone Golf Club,  2555 Hwy 70 East,Dickson,Tennessee,US,36.091839,-87.337802
2508,0.7664107965495095,104_left,16018_right,Gaylord Springs Golf Club,Nashville,Tennessee,US,,16019,Gaylord Springs Golf Links,  18 SPRINGHOUSE LN,Nashville,Tennessee,US,36.21909255,-86.68044584105937
