,best_match_score,__id_left,__id_right,Course,City,State,Country,id,g_course,g_address,g_city,g_state,g_country,g_latitude,g_longitude
603,0.8473253287922583,30_left,17454_right,Omni Homestead (Cascades),Hot Springs,Virginia,US,17455,The Homestead - Cascades,  3789 Sam Snead Hwy,Hot Springs,Virginia,US,37.949836,-79.869886
606,0.8874876234068044,31_left,12686_right,Pinehurst Resort (No. 4),Pinehurst,North Carolina,US,12687,Pinehurst Resort - #4,  80 Carolina Vista Drive,Pinehurst,North Carolina,US,35.1877,-79.4651
607,1.1942143026622696,32_left,8898_right,Forest Dunes Golf Club (Loop: Red/Black),Roscommon,Michigan,US,8899,Forest Dunes Golf Club - The Loop (Red),  6376 Forest Dunes Drive,Roscommon,Michigan,US,44.491448,-84.591205
608,0.6969088516691795,33_left,3824_right,Streamsong Resort (Black),Streamsong,Florida,US,3825,Streamsong Golf Resort - Black Course 13 Right,  1000 Streamsong Drive,Streamsong,Florida,US,27.69248365,-81.93421414184263
610,1.0506551841891913,34_left,9130_right,The Quarry at Giants Ridge,Biwabik,Minnesota,US,9131,Quarry at Giants Ridge Golf & Ski Resort,  6325 Wynne Creek Drive,Biwabik,Minnesota,US,47.576949,-92.303571
756,1.5086331569481866,35_left,4543_right,Sea Island Golf Club (Seaside),St. Simons Island,Georgia,US,4544,Sea Island Golf Club - Seaside,  100 Retreat Rd,St Simons Island,Georgia,US,31.15051,-81.36954
757,2.090822663545798,36_left,18119_right,The Greenbrier (Old White TPC),White Sulphur Springs,West Virginia,US,18120,The Greenbrier - Old White TPC,  300 W Main St,White Sulphur Springs,West Virginia,US,37.786721,-80.304668
758,1.030340734578356,37_left,17703_right,Gamble Sands,Brewster,Washington,US,17704,Gamble Sands,  200 Sands Trail Road,Brewster,Washington,US,48.076211,-119.651529
759,1.284376483899609,38_left,3252_right,Black Diamond Ranch (Quarry),Lecanto,Florida,US,3253,Black Diamond Ranch - Quarry,  3125 West Black Diamond Circle,Lecanto,Florida,US,28.9074826,-82.4898937
760,0.4167281896724442,39_left,14150_right,Prongorn Resort (Nicklaus),Bend,Oregon,US,14151,Golf Club at Pronghorn - Jack Nicklaus,  830 NW Wall Street,Bend,Oregon,US,44.0583425,-121.31440277266034
881,0.053423538453352584,40_left,12878_right,Fallen Oak at Beau Rivage Resort,Biloxi,Mississippi,US,12879,Beau Rivage Resort & Golf Club,  649 Rivage Promenade,Wilmington,North Carolina,US,34.11430475,-77.90638052042254
1031,1.3162276296006474,41_left,1326_right,Torrey Pines Golf Course (South),La Jolla,California,US,1327,Torrey Pines Municipal Golf Course - South,  11480 N Torrey Pines Rd,La Jolla,California,US,32.9038813,-117.2442733
1032,0.9196267601983107,42_left,17659_right,Gold Horseshoe Golf Club (Gold),Williamsburg,Virginia,US,17660,The Golden Horseshoe Golf Club - Gold,  401 S England St,Williamsburg,Virginia,US,37.267002,-76.699636
1033,0.16893938366182726,43_left,2145_right,The Broadmoor (East),Colorado Springs,Colorado,US,2146,The Country Club of Colorado,  125 E Clubhouse Dr,Colorado Springs,Colorado,US,38.77852755,-104.82653953092307
1039,1.04645201727559,44_left,10543_right,The Prairie Club (Dunes),Valentine,Nebraska,US,10544,The Prairie Club - Dunes,  88897 State Highway 97,Valentine,Nebraska,US,42.713914,-100.805769
1040,0.293383692299749,45_left,2461_right,Yale Golf Course,New Haven,Connecticut,US,2462,Alling Memorial Golf Course,  35 Eastern St,New Haven,Connecticut,US,41.3083545,-72.86736204298538
1041,0.697971907305914,46_left,18608_right,Whistling Straits Golf Club (Irish),Kohler,Wisconsin,US,18609,Whistling Straits - The Irish,  N 8501 Lakeshore Road,Sheboygan,Wisconsin,US,43.838932,-87.740826
1193,1.6439381660491816,47_left,15204_right,May River Golf Club at Palmetto Bluff,Bluffton,South Carolina,US,15205,May River Golf Club at Palmetto Bluff,  476 MOUNT PELIA RD,Bluffton,South Carolina,US,32.20374897443514,-80.88514610188354
1194,1.1267977418882749,48_left,12755_right,Tobacco Road Golf Club,Sanford,North Carolina,US,12756,Tobacco Road Golf Club,  442 Tobacco Rd,Sanford,North Carolina,US,35.3985925,-79.21239179249083
1195,0.08443524868189246,49_left,18632_right,SentryWorld,Stevens Points,Wisconsin,US,18633,Wisconsin River Golf Club,  705 W River Dr,Stevens Point,Wisconsin,US,44.470829550000005,-89.5880251789123
1198,0.9490505780229547,50_left,1822_right,CordeValle,San Martin,California,US,1823,CordeValle Golf Club,  One CordeValle Club Dr,San Martin,California,US,37.067816,-121.627205
1199,0.624833608184853,51_left,8088_right,Arcadia Bluffs Golf Club (South),Bear Lake,Michigan,US,8089,Arcadia Bluffs Golf Course - South Course,  14710 Northwood Highway,Arcadia,Michigan,US,44.456365399999996,-86.24336500773762
1389,1.4326301520865512,52_left,1629_right,The Links at Spanish Bay,Pebble Beach,California,US,1630,The Links at Spanish Bay,  2700 17 Mile Dr,Pebble Beach,California,US,36.6132634,-121.9403927
1390,1.0025931676834678,53_left,1343_right,Stadium Course at PGA West,La Quinta,California,US,1344,PGA West - TPC Stadium,  55-955 PGA Boulevard,La Quinta,California,US,33.6500405,-116.2662264
1536,0.5022754902902575,54_left,5205_right,Cog Hill (No. 4),Lemont,Illinois,US,5206,Cog Hill Golf & Country Club - Blue (Right #4),  12294 Archer Avenue,Lemont,Illinois,US,41.6648908,-87.961506
1538,0.8239865039974071,55_left,10219_right,Wilderness Club,Eureka,Montana,US,10220,Wilderness Club,  1885 Sophie Lake Road,Eureka,Montana,US,48.927829,-115.121686
1539,1.1935630335118645,56_left,11250_right,Paa-Ko Ridge Golf Club,Sandia Park,New Mexico,US,11251,Paa-Ko Ridge Golf Club - Back/Front,  1 Club House Dr,Sandia Park,New Mexico,US,35.245345,-106.673785
