,__id_left,__id_right,match_score,match_rank,course,g_course,city,g_city,state,g_state,country,g_country
9683,385_left,3315_right,1.277737939354055,1,Trump National Doral (Blue Monster),Trump National Doral Miami - The Blue Monster,Miami,Miami,Florida,Florida,US,US
9684,386_left,507_right,0.6615013142510817,1,Quintero Golf Club,Quintero Golf Club,Peoria,Peoria,Arizona,Arizona,US,US
9685,387_left,2062_right,1.0634815409460705,1,TPC Colorado,TPC Colorado,Berthoud,Berthoud,Colorado,Colorado,US,US
9686,387_left,2074_right,1.0634815409460705,2,TPC Colorado,TPC Colorado,Berthoud,Berthoud,Colorado,Colorado,US,US
9687,388_left,2797_right,1.3918105567505625,1,World Woods (Pine Barrens),World Woods Golf Club - Pine Barrens,Brooksville,Brooksville,Florida,Florida,US,US
9688,389_left,18612_right,1.5783108779043746,1,The Bull at Pinehurst Farms,The Bull at Pinehurst Farms,Sheboygan Falls,Sheboygan Falls,Wisconsin,Wisconsin,US,US
9689,390_left,1627_right,1.0804504639712889,1,Poppy Hills Golf Course,Poppy Hills Golf Course,Pebble Beach,Pebble Beach,California,California,US,US
9690,391_left,12775_right,1.465571212617619,1,Mid Pines Inn and Golf Club,Mid Pines Inn & Golf Club,Southern Pines,Southern Pines,North Carolina,North Carolina,US,US
9691,391_left,12787_right,1.465571212617619,2,Mid Pines Inn and Golf Club,Mid Pines Inn & Golf Club,Southern Pines,Southern Pines,North Carolina,North Carolina,US,US
9692,391_left,12282_right,-0.30153190076517983,3,Mid Pines Inn and Golf Club,Badin Inn Golf Resort & Club,Southern Pines,Badin,North Carolina,North Carolina,US,US
9693,391_left,12294_right,-0.30153190076517983,4,Mid Pines Inn and Golf Club,Badin Inn Golf Resort & Club,Southern Pines,Badin,North Carolina,North Carolina,US,US
9694,391_left,12395_right,-0.34804905592220925,5,Mid Pines Inn and Golf Club,Cherryville Golf and Country Club,Southern Pines,Cherryville,North Carolina,North Carolina,US,US
9839,392_left,7481_right,1.1891316511207886,1,Bulle Rock,Bulle Rock Golf Club,Havre de Grace,Havre de Grace,Maryland,Maryland,US,US
9840,392_left,7493_right,1.1891316511207886,2,Bulle Rock,Bulle Rock Golf Club,Havre de Grace,Havre de Grace,Maryland,Maryland,US,US
9841,393_left,1652_right,0.9119794130112301,1,Grizzly Ranch,Grizzly Ranch Golf Club,Portola,Portola,California,California,US,US
9842,394_left,17655_right,1.0933685221269165,1,Kingsmill Resort (River),Kingsmill Golf Club & Resort - River,Williamsburg,Williamsburg,Virginia,Virginia,US,US
9843,395_left,10545_right,1.0326736818713633,1,The Prairie Club (Pines),The Prairie Club - Pines,Valentine,Valentine,Nebraska,Nebraska,US,US
9844,396_left,1014_right,0.1654139570077142,1,Rams Hill Golf Course,Club Circle Golf Course,Borrego Springs,Borrego Springs,California,California,US,US
9845,396_left,1603_right,-0.36259306038154054,2,Rams Hill Golf Course,Tahquitz Creek Golf Resort - Resort Course,Borrego Springs,Palm Springs,California,California,US,US
9846,396_left,1137_right,-0.3861922282259048,3,Rams Hill Golf Course,Desert Dunes Golf Course,Borrego Springs,Desert Hot Springs,California,California,US,US
9847,396_left,1135_right,-0.4364544248722853,4,Rams Hill Golf Course,Caliente Springs Golf Course,Borrego Springs,Desert Hot Springs,California,California,US,US
9848,396_left,1602_right,-0.4743989711573657,5,Rams Hill Golf Course,Tahquitz Creek Golf Resort - Legends Course,Borrego Springs,Palm Springs,California,California,US,US
9857,397_left,4497_right,1.286720191882012,1,The McLemore Club,The McLemore Club,Rising Fawn,Rising Fawn,Georgia,Georgia,US,US
9858,398_left,17428_right,0.9536884685453959,1,Spring Creek Golf Club,Spring Creek Golf Club,Gordonsville,Gordonsville,Virginia,Virginia,US,US
9859,399_left,8966_right,0.13668568613353094,1,Tullymore Golf Resort,St. Ives Resort,Stanwood,Stanwood,Michigan,Michigan,US,US
9860,399_left,8416_right,-0.26528488555103613,2,Tullymore Golf Resort,The Loon Golf Resort - Loon Course,Stanwood,Gaylord,Michigan,Michigan,US,US
9861,399_left,8428_right,-0.26528488555103613,3,Tullymore Golf Resort,The Loon Golf Resort - Loon Course,Stanwood,Gaylord,Michigan,Michigan,US,US
9862,399_left,8528_right,-0.31051248394767195,4,Tullymore Golf Resort,Thunder Bay Golf Resort,Stanwood,Hillman,Michigan,Michigan,US,US
9863,399_left,8131_right,-0.3367670187363342,5,Tullymore Golf Resort,Candlestone Inn Golf & Resort,Stanwood,Belding,Michigan,Michigan,US,US
9995,400_left,18326_right,1.0131008342380328,1,Troy Burne Golf Club,Troy Burne Golf Club,Hudson,Hudson,Wisconsin,Wisconsin,US,US
